seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0156,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0157,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0158,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0159,A2_e_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0160,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0161,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0162,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0163,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0164,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0165,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0166,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0167,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0168,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0169,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0170,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0171,A2_i_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0172,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0173,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0174,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3
seq_0175,A2_i_d.mp3,B2_u_t.mp3,A1_e_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3
seq_0176,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0177,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0178,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0179,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0180,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0181,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0182,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_o_k.mp3
seq_0183,A2_i_d.mp3,B2_u_t.mp3,A1_i_b.mp3,B1_u_p.mp3,A3_e_g.mp3,B3_u_k.mp3
seq_0184,A2_i_d.mp3,B2_o_t.mp3,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3
